,filename ,eror I,time
0,P01004-190054.jpg,1,0.412501
1,P01004-190112.jpg,0,0.562494
2,P01004-190120.jpg,0,0.664225
3,P01004-190141.jpg,0,0.399998
4,P01004-190202.jpg,0,0.905689
5,P01004-190215.jpg,0,0.503889
6,P01004-190232.jpg,0,0.578442
7,P01004-190425.jpg,0,0.644715
8,P01004-190444.jpg,0,1.034237
9,P01004-190513.jpg,1,0.929647
10,P01004-190527.jpg,1,0.811034
11,P01004-190559.jpg,1,0.67016
12,P01004-190600.jpg,1,1.228753
13,P01004-190621.jpg,1,0.999846
14,P01004-190810.jpg,0,0.592418
15,P01004-190817.jpg,0,0.603839
16,P01004-190838.jpg,1,1.233702
17,P01004-190850.jpg,0,1.064158
18,P01004-190859.jpg,0,1.075127
19,P01004-190916.jpg,0,1.142603
20,P01004-191027.jpg,1,0.499174
21,P01004-191037.jpg,0,0.664481
22,P01004-191057.jpg,0,0.508081
23,P01004-191105.jpg,0,0.864471
24,P01004-191140.jpg,0,0.463311
25,P01004-191157.jpg,0,0.650262
26,P01004-191212.jpg,0,0.816816
27,P01004-191224.jpg,1,0.494676
28,P01004-191234.jpg,0,0.747626
29,P01004-191242.jpg,0,0.775837
30,P01004-191256.jpg,1,0.523602
31,P01004-191307.jpg,0,0.823799
32,P01004-191318.jpg,1,0.51163
33,P01004-191403.jpg,1,0.848733
34,P01004-191411.jpg,1,0.768945
35,P01004-191430.jpg,1,1.102053
36,P01004-191450.jpg,1,0.897033
37,P01004-191505.jpg,0,1.073747
38,P01004-191516.jpg,1,0.596405
39,P01004-191528.jpg,0,1.107263
